# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id,g_psfflux_flag,r_psfflux_flag,i_psfflux_flag,g_cmodel_flag,r_cmodel_flag,i_cmodel_flag,g_pixelflags_edge,r_pixelflags_edge,i_pixelflags_edge,g_pixelflags_bad,r_pixelflags_bad,i_pixelflags_bad,g_pixelflags_interpolatedcenter,r_pixelflags_interpolatedcenter,i_pixelflags_interpolatedcenter,g_pixelflags_saturatedcenter,r_pixelflags_saturatedcenter,i_pixelflags_saturatedcenter,g_pixelflags_crcenter,r_pixelflags_crcenter,i_pixelflags_crcenter
130.63403717090813,-0.10418061804873262,19.0779037,0.000734861533,18.4286842,0.000644441636,18.1961594,0.000328140915,19.0747566,0.000709853601,18.4269676,0.000589632138,18.2035389,0.000326055015,40963847586081593,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135.74061600946652,1.1866252188633524,19.7023029,0.000827205426,19.2760296,0.000762823096,19.1649303,0.000548414362,19.7072048,0.000812506769,19.2811661,0.000745093741,19.1681709,0.00054484437,42050710535174413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143.52087903314379,1.81253890330206,19.6237526,0.00189489918,19.5066586,0.00262866332,19.2009888,0.000781575916,19.6202545,0.00174199394,19.5030556,0.00224595983,19.2062836,0.000775583845,43136048770863423,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171.5546477214835,0.7935827055953631,18.7865295,0.000565246912,18.6917992,0.000546150259,,,18.8065758,0.000569911208,18.7026176,0.000543364615,,,42156117622542998,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
193.23808467715764,1.1778626384646689,19.2891293,0.00120633445,18.7661457,0.000612941571,18.5051842,0.00108635647,19.2829285,0.00111885532,18.7634869,0.000581659726,18.5022697,0.00108152011,42217011668867880,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
208.05088508491048,-2.2134328675933492,19.7683353,0.00244480465,19.6642876,0.00178102276,19.2953434,0.00120078493,19.7724171,0.00225261459,19.6763573,0.00176836445,19.3103294,0.00119655195,40128480741972059,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211.75179934600905,42.61849244016954,18.5548592,0.00103683397,18.535408,0.000534929801,,,18.5526695,0.00103422801,18.5355759,0.000529864628,,,69550729001458975,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
236.64523920183927,42.32043084052403,18.6641312,0.00108315528,18.7962341,0.000893816119,18.916029,0.000583603978,18.6759052,0.000884447014,18.8088303,0.000863651745,18.9188423,0.000578527048,69608449066951148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
347.40364756631135,0.8709619550892029,19.4030018,0.000887261122,19.2751064,0.000922846084,19.2246189,0.000632443407,19.4011211,0.000844758761,19.2732983,0.000825077586,19.2342529,0.000628256064,42674266772099351,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
359.1073671719628,0.7724584997768336,18.4710655,0.00060982228,18.3566418,0.000549602031,nan,nan,18.4690533,0.000596168218,18.3578072,0.000546770578,18.3422012,0.000464095123,42709584288182334,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
169.04715837968263,1.9478578279369934,19.5008049,0.0015706839,19.2765007,0.00209620618,,,19.5050621,0.00157568185,19.2793655,0.00208317977,,,43216175680730598,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
181.50486100069523,1.5687449855541153,18.5756702,0.00065056223,18.8006134,0.000606303394,18.7603588,0.000626726891,18.6171265,0.000655106734,18.857502,0.000616233621,18.8191948,0.000633565709,43250939146042159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191.18918095254472,1.486477106105054,19.6421261,0.00127645629,19.6493225,0.00102442387,19.4180603,0.00165552471,19.6395435,0.00121954479,19.6469231,0.000949705951,19.4168358,0.00164258352,42213034529150905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
202.667115536297,43.418519685308375,17.9156818,0.00091994548,nan,nan,,,17.9175663,0.000910201459,18.0247726,0.000440644857,,,70321336328668739,False,False,,False,True,,False,False,,False,False,,False,False,,False,True,,False,False,
